DATE,AVAILABLE_BIKES
2022-01-01,12.689752252252251
2022-01-02,12.64846096096096
2022-01-03,12.65915915915916
2022-01-04,12.44557057057057
2022-01-05,12.480758400600713
2022-01-06,12.659848484848485
2022-01-07,12.790719696969697
2022-01-08,12.964583333333334
2022-01-09,12.971590909090908
2022-01-10,12.796969696969697
2022-01-11,12.694507575757576
2022-01-12,12.784090909090908
2022-01-13,12.705492424242424
2022-01-14,12.711363636363636
2022-01-15,12.90625
2022-01-16,12.867234848484848
2022-01-17,12.678030303030303
2022-01-18,12.619318181818182
2022-01-19,12.683901515151515
2022-01-20,12.745833333333334
2022-01-21,12.696022727272727
2022-01-22,12.906060606060606
2022-01-23,12.93030303030303
2022-01-24,12.684848484848485
2022-01-25,12.771590909090909
2022-01-26,12.670265151515151
2022-01-27,12.697727272727272
2022-01-28,12.698863636363637
2022-01-29,12.863636363636363
2022-01-30,12.928219696969697
2022-01-31,12.635375494071146
2022-02-01,12.620833333333334
2022-02-02,12.652272727272727
2022-02-03,12.615340909090909
2022-02-04,12.827651515151516
2022-02-05,13.061931818181819
2022-02-06,13.099810606060606
2022-02-07,12.687878787878788
2022-02-08,12.532007575757575
2022-02-09,12.573863636363637
2022-02-10,12.569128787878787
2022-02-11,12.653977272727273
2022-02-12,12.928598484848484
2022-02-13,12.97121212121212
2022-02-14,12.654545454545454
2022-02-15,12.746022727272727
2022-02-16,12.833333333333334
2022-02-17,12.831439393939394
2022-02-18,12.765719696969697
2022-02-19,12.996969696969696
2022-02-20,13.084090909090909
2022-02-21,12.745833333333334
2022-02-22,12.693560606060606
2022-02-23,12.723295454545454
2022-02-24,12.69375
2022-02-25,12.665530303030303
2022-02-26,12.844886363636364
2022-02-27,12.873674242424242
2022-02-28,12.604166666666666
2022-03-01,12.560984848484848
2022-03-02,12.664393939393939
2022-03-03,12.633333333333333
2022-03-04,12.609280303030303
2022-03-05,12.746212121212121
2022-03-06,12.74469696969697
2022-03-07,12.64280303030303
2022-03-08,12.68030303030303
2022-03-09,12.875189393939394
2022-03-10,12.721780303030304
2022-03-11,12.830113636363636
2022-03-12,13.012689393939393
2022-03-13,12.987689393939394
2022-03-14,12.715340909090909
2022-03-15,12.649621212121213
2022-03-16,12.449621212121212
2022-03-17,12.460984848484848
2022-03-18,12.421022727272728
2022-03-19,12.583712121212121
2022-03-20,12.697916666666666
2022-03-21,12.481818181818182
2022-03-22,12.54905303030303
2022-03-23,12.429166666666667
2022-03-24,12.506060606060606
2022-03-25,12.587689393939394
2022-03-26,12.625
2022-03-27,12.67687747035573
2022-03-28,12.548484848484849
2022-03-29,12.603030303030303
2022-03-30,12.645454545454545
2022-03-31,12.630871212121212
2022-04-01,12.667045454545455
2022-04-02,12.842992424242425
2022-04-03,12.837121212121213
2022-04-04,12.653219696969696
2022-04-05,12.583034872761546
2022-04-06,12.67623873873874
2022-04-07,12.476163663663664
2022-04-08,12.541666666666666
2022-04-09,12.656531531531531
2022-04-10,12.691816816816816
2022-04-11,12.493055555555555
2022-04-12,12.671921921921921
2022-04-13,12.507695195195195
2022-04-14,12.45138888888889
2022-04-15,12.62743993993994
2022-04-16,12.518956456456456
2022-04-17,12.850412912912914
2022-04-18,12.84177927927928
2022-04-19,12.52759009009009
2022-04-20,12.541116559788758
2022-04-21,12.46875
2022-04-22,12.561742424242425
2022-04-23,12.775757575757575
2022-04-24,12.775
2022-04-25,12.600568181818181
2022-04-26,12.412121212121212
2022-04-27,12.389478541762806
2022-04-28,11.89750744047619
2022-04-29,12.117931547619047
2022-04-30,13.04985119047619
2022-05-01,13.056733630952381
2022-05-02,12.892485119047619
2022-05-03,12.529389880952381
2022-05-04,12.291666666666666
2022-05-05,12.086495535714286
2022-05-06,12.25483630952381
2022-05-07,12.238467261904763
2022-05-08,12.181919642857142
2022-05-09,12.220982142857142
2022-05-10,12.053385416666666
2022-05-11,12.083147321428571
2022-05-12,12.188988095238095
2022-05-13,12.165178571428571
2022-05-14,12.110863095238095
2022-05-15,12.310081845238095
2022-05-16,12.023809523809524
2022-05-17,12.194010416666666
2022-05-18,12.025111607142858
2022-05-19,11.973958333333334
2022-05-20,12.217633928571429
2022-05-21,12.342633928571429
2022-05-22,12.451450892857142
2022-05-23,12.215215773809524
2022-05-24,12.107514880952381
2022-05-25,12.175595238095237
2022-05-26,12.111421130952381
2022-05-27,12.118920972644377
2022-05-28,12.254650297619047
2022-05-29,12.397879464285714
2022-05-30,12.203497023809524
2022-05-31,12.181733630952381
2022-06-01,12.21186755952381
2022-06-02,12.370721726190476
2022-06-03,12.397135416666666
2022-06-04,12.427455357142858
2022-06-05,12.731026785714286
2022-06-06,12.489955357142858
2022-06-07,12.354352678571429
2022-06-08,12.222284226190476
2022-06-09,12.300595238095237
2022-06-10,12.447916666666666
2022-06-11,12.517671130952381
2022-06-12,12.565104166666666
2022-06-13,12.252790178571429
2022-06-14,12.158854166666666
2022-06-15,12.162016369047619
2022-06-16,12.12016369047619
2022-06-17,12.107886904761905
2022-06-18,12.182849702380953
2022-06-19,12.224702380952381
2022-06-20,11.846540178571429
2022-06-21,11.927827380952381
2022-06-22,12.00483630952381
2022-06-23,12.039806547619047
2022-06-24,12.216331845238095
2022-06-25,12.262090773809524
2022-06-26,12.380580357142858
2022-06-27,12.034598214285714
2022-06-28,12.149553571428571
2022-06-29,12.056733630952381
2022-06-30,12.220796130952381
2022-07-01,12.25874255952381
2022-07-02,12.404203869047619
2022-07-03,12.35844494047619
2022-07-04,12.064360119047619
2022-07-05,12.065848214285714
2022-07-06,12.060267857142858
2022-07-07,12.168340773809524
2022-07-08,12.198474702380953
2022-07-09,12.191034226190476
2022-07-10,12.033482142857142
2022-07-11,11.988839285714286
2022-07-12,12.064360119047619
2022-07-13,12.00483630952381
2022-07-14,12.019717261904763
2022-07-15,11.929129464285714
2022-07-16,12.079613095238095
2022-07-17,12.022321428571429
2022-07-18,11.860863095238095
2022-07-19,11.802455357142858
2022-07-20,11.915736607142858
2022-07-21,11.930431547619047
2022-07-22,12.033668154761905
2022-07-23,12.320684523809524
2022-07-24,12.272879464285714
2022-07-25,12.104910714285714
2022-07-26,11.927827380952381
2022-07-27,11.884513441878077
2022-07-28,11.785951327433628
2022-07-29,11.952986725663717
2022-07-30,12.255530973451327
2022-07-31,12.103797935103245
2022-08-01,12.115781710914455
2022-08-02,11.673856932153392
2022-08-03,11.518436578171091
2022-08-04,11.402839233038348
2022-08-05,11.67348820058997
2022-08-06,11.8530604719764
2022-08-07,11.879424778761061
2022-08-08,11.627212389380531
2022-08-09,11.543325958702065
2022-08-10,11.379977876106194
2022-08-11,11.397308259587021
2022-08-12,11.659660766961652
2022-08-13,11.893620943952802
2022-08-14,11.638089970501476
2022-08-15,11.917219764011799
2022-08-16,11.74797197640118
2022-08-17,11.820796460176991
2022-08-18,11.734513274336283
2022-08-19,11.731379056047198
2022-08-20,11.943952802359883
2022-08-21,11.944874631268437
2022-08-22,11.691187315634219
2022-08-23,11.606563421828909
2022-08-24,11.619653392330383
2022-08-25,11.651548672566372
2022-08-26,11.797750737463128
2022-08-27,11.830936578171091
2022-08-28,12.013274336283185
2022-08-29,11.747603244837759
2022-08-30,11.727323008849558
2022-08-31,11.813053097345133
2022-09-01,12.056717618664521
2022-09-02,12.469026548672566
2022-09-03,12.59273598820059
2022-09-04,12.320243362831858
2022-09-05,12.1030604719764
2022-09-06,12.148230088495575
2022-09-07,12.05844395280236
2022-09-08,12.021386430678467
2022-09-09,12.018805309734514
2022-09-10,12.101216814159292
2022-09-11,12.359882005899705
2022-09-12,12.038716814159292
2022-09-13,11.779867256637168
2022-09-14,11.709070796460177
2022-09-15,11.482485250737463
2022-09-16,11.549963126843657
2022-09-17,11.701696165191741
2022-09-18,11.813974926253687
2022-09-19,11.473082595870206
2022-09-20,11.3125
2022-09-21,11.214417404129794
2022-09-22,11.606747787610619
2022-09-23,11.537241887905605
2022-09-24,11.787426253687316
2022-09-25,11.983038348082596
2022-09-26,11.554756637168142
2022-09-27,11.505162241887906
2022-09-28,11.560287610619469
2022-09-29,11.5405604719764
2022-09-30,11.934365781710914
2022-10-01,12.080752212389381
2022-10-02,12.101585545722713
2022-10-03,11.729351032448378
2022-10-04,11.623893805309734
2022-10-05,11.826880530973451
2022-10-06,11.82061209439528
2022-10-07,11.867625368731563
2022-10-08,11.817477876106194
2022-10-09,12.14712389380531
2022-10-10,11.730457227138643
2022-10-11,11.667957227138643
2022-10-12,11.769542772861357
2022-10-13,11.65968393972804
2022-10-14,11.699579447796673
2022-10-15,12.128502949852507
2022-10-16,12.224373156342184
2022-10-17,11.857853982300885
2022-10-18,11.841998525073747
2022-10-19,12.09660766961652
2022-10-20,11.926438053097344
2022-10-21,12.013827433628318
2022-10-22,11.953171091445428
2022-10-23,12.079646017699115
2022-10-24,11.739491150442477
2022-10-25,11.730272861356932
2022-10-26,11.5945796460177
2022-10-27,11.44948377581121
2022-10-28,11.386799410029498
2022-10-29,11.736541297935103
2022-10-30,11.293805309734513
2022-10-31,11.75792772861357
2022-11-01,11.510324483775811
2022-11-02,11.755530973451327
2022-11-03,11.677175516224189
2022-11-04,11.776313311993976
2022-11-05,11.863384955752212
2022-11-06,11.9476401179941
2022-11-07,11.7601401179941
2022-11-08,11.710545722713864
2022-11-09,11.7905604719764
2022-11-10,11.830383480825958
2022-11-11,11.96349557522124
2022-11-12,12.143805309734514
2022-11-13,12.244284660766962
2022-11-14,12.001106194690266
2022-11-15,11.918879056047198
2022-11-16,12.026548672566372
2022-11-17,11.979351032448378
2022-11-18,12.10287610619469
2022-11-19,12.230641592920353
2022-11-20,12.271017699115044
2022-11-21,12.03613569321534
2022-11-22,11.819690265486726
2022-11-23,12.184550147492626
2022-11-24,12.09900442477876
2022-11-25,12.112647492625369
2022-11-26,12.387721238938052
2022-11-27,12.40910766961652
2022-11-28,12.1148598820059
2022-11-29,11.981194690265486
2022-11-30,11.985619469026549
2022-12-01,11.966629793510325
2022-12-02,11.928281710914455
2022-12-03,12.224741887905605
2022-12-04,12.399336283185841
2022-12-05,12.03226401179941
2022-12-06,11.910582595870206
2022-12-07,11.799778761061948
2022-12-08,11.858775811209439
2022-12-09,12.118731563421829
2022-12-10,12.402654867256636
2022-12-11,12.441924778761061
2022-12-12,12.20999262536873
2022-12-13,12.117809734513274
2022-12-14,12.021570796460177
2022-12-15,11.944690265486726
2022-12-16,12.160951327433628
2022-12-17,12.33056784660767
2022-12-18,12.39509587020649
2022-12-19,12.119653392330383
2022-12-20,12.002949852507374
2022-12-21,12.136061946902656
2022-12-22,12.172013274336283
2022-12-23,12.350479351032448
2022-12-24,12.488569321533923
2022-12-25,12.333886430678467
2022-12-26,12.444321533923304
2022-12-27,12.355457227138643
2022-12-28,12.190265486725664
2022-12-29,12.136430678466077
2022-12-30,11.987278761061948
2022-12-31,11.927728613569322
